x	cosh(x)		cosh'(x)		cosh'(x)		cosh''(x)	cosh''(x)

			           af	      df	        af	      df

8.080000 1614.616773 1614.616463 1630.870813 1614.616773 1614.670594
8.100000 1647.234189 1647.233886 1663.816595 1647.234189 1647.289098
8.120000 1680.510521 1680.510224 1697.427925 1680.510521 1680.566539
8.140000 1714.459080 1714.458788 1731.718250 1714.459080 1714.516229
8.160000 1749.093445 1749.093159 1766.701285 1749.093445 1749.151749
8.180000 1784.427471 1784.427190 1802.391024 1784.427471 1784.486952
8.200000 1820.475291 1820.475016 1838.801744 1820.475291 1820.535974
8.220000 1857.251326 1857.251057 1875.948008 1857.251326 1857.313235
8.240000 1894.770286 1894.770022 1913.844677 1894.770286 1894.833446
8.260000 1933.047180 1933.046921 1952.506909 1933.047180 1933.111615
8.280000 1972.097318 1972.097064 1991.950171 1972.097318 1972.163055
8.300000 2011.936321 2011.936073 2032.190238 2011.936321 2012.003387
8.320000 2052.580126 2052.579882 2073.243209 2052.580126 2052.648546
8.340000 2094.044990 2094.044751 2115.125505 2094.044990 2094.114793
8.360000 2136.347500 2136.347266 2157.853879 2136.347500 2136.418713
8.380000 2179.504578 2179.504348 2201.445424 2179.504578 2179.577229
8.400000 2223.533486 2223.533261 2245.917576 2223.533486 2223.607605
8.420000 2268.451838 2268.451617 2291.288125 2268.451838 2268.527454
8.440000 2314.277600 2314.277384 2337.575220 2314.277600 2314.354744
8.460000 2361.029105 2361.028893 2384.797376 2361.029105 2361.107807
8.480000 2408.725052 2408.724845 2432.973483 2408.725052 2408.805344
8.500000 2457.384522 2457.384318 2482.122812 2457.384522 2457.466436
8.520000 2507.026978 2507.026779 2532.265023 2507.026978 2507.110547
8.540000 2557.672279 2557.672083 2583.420173 2557.672279 2557.757535
8.560000 2609.340682 2609.340490 2635.608727 2609.340682 2609.427661
8.580000 2662.052857 2662.052669 2688.851558 2662.052857 2662.141593
8.600000 2715.829888 2715.829704 2743.169967 2715.829888 2715.920417
8.620000 2770.693287 2770.693107 2798.585680 2770.693287 2770.785645
8.640000 2826.665001 2826.664824 2855.120864 2826.665001 2826.759224
8.660000 2883.767418 2883.767245 2912.798135 2883.767418 2883.863545
8.680000 2942.023381 2942.023211 2971.640564 2942.023381 2942.121449
8.700000 3001.456192 3001.456025 3031.671689 3001.456192 3001.556242
8.720000 3062.089626 3062.089462 3092.915523 3062.089626 3062.191697
8.740000 3123.947936 3123.947776 3155.396564 3123.947936 3124.052069
